MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_delaunay_edge_ratio_4,SGD,edge_ratio,4,0.148,0.192,0.804,0.13,0.148,0.05800000000000001
PCA,contraceptive,_delaunay_edge_ratio_4,SVM,edge_ratio,4,0.19,0.22800000000000004,0.772,0.084,0.024,0.0
PCA,contraceptive,_delaunay_edge_ratio_9,ABC,edge_ratio,9,0.202,0.22800000000000004,0.8099999999999999,0.21200000000000002,0.28800000000000003,0.15400000000000003
PCA,contraceptive,_delaunay_edge_ratio_9,DTREE,edge_ratio,9,0.186,0.21000000000000002,0.796,0.19,0.274,0.13399999999999998
PCA,contraceptive,_delaunay_edge_ratio_9,GNB,edge_ratio,9,0.196,0.186,0.8459999999999999,0.19,0.27,0.136
PCA,contraceptive,_delaunay_edge_ratio_9,KNN,edge_ratio,9,0.196,0.202,0.8140000000000001,0.194,0.28200000000000003,0.134
PCA,contraceptive,_delaunay_edge_ratio_9,LRG,edge_ratio,9,0.202,0.256,0.774,0.21600000000000003,0.294,0.15200000000000002
PCA,contraceptive,_delaunay_edge_ratio_9,MLP,edge_ratio,9,0.20800000000000002,0.23199999999999998,0.8140000000000001,0.21400000000000002,0.29400000000000004,0.15800000000000003
PCA,contraceptive,_delaunay_edge_ratio_9,QDA,edge_ratio,9,0.21600000000000003,0.174,0.858,0.186,0.268,0.134
PCA,contraceptive,_delaunay_edge_ratio_9,RF,edge_ratio,9,0.196,0.22800000000000004,0.7939999999999999,0.20800000000000002,0.29000000000000004,0.14800000000000002
PCA,contraceptive,_delaunay_edge_ratio_9,SGD,edge_ratio,9,0.192,0.124,0.866,0.10800000000000001,0.166,0.06
PCA,contraceptive,_delaunay_edge_ratio_9,SVM,edge_ratio,9,0.156,0.22800000000000004,0.77,0.084,0.026000000000000002,0.002
PCA,contraceptive,_delaunay_max_solid_angle_1,ABC,max_solid_angle,1,0.192,0.22599999999999998,0.806,0.20400000000000001,0.28400000000000003,0.14800000000000002
PCA,contraceptive,_delaunay_max_solid_angle_1,DTREE,max_solid_angle,1,0.192,0.20800000000000002,0.8019999999999999,0.192,0.278,0.132
PCA,contraceptive,_delaunay_max_solid_angle_1,GNB,max_solid_angle,1,0.198,0.188,0.844,0.192,0.272,0.134
PCA,contraceptive,_delaunay_max_solid_angle_1,KNN,max_solid_angle,1,0.192,0.20400000000000001,0.8099999999999999,0.192,0.276,0.132
PCA,contraceptive,_delaunay_max_solid_angle_1,LRG,max_solid_angle,1,0.20400000000000001,0.262,0.772,0.21999999999999997,0.296,0.15400000000000003
PCA,contraceptive,_delaunay_max_solid_angle_1,MLP,max_solid_angle,1,0.20800000000000002,0.22999999999999998,0.8160000000000001,0.21400000000000002,0.29200000000000004,0.158
PCA,contraceptive,_delaunay_max_solid_angle_1,QDA,max_solid_angle,1,0.21600000000000003,0.176,0.858,0.194,0.27,0.132
PCA,contraceptive,_delaunay_max_solid_angle_1,RF,max_solid_angle,1,0.198,0.23200000000000004,0.792,0.20800000000000002,0.28800000000000003,0.15000000000000002
PCA,contraceptive,_delaunay_max_solid_angle_1,SGD,max_solid_angle,1,0.22799999999999998,0.196,0.828,0.142,0.182,0.07999999999999999
PCA,contraceptive,_delaunay_max_solid_angle_1,SVM,max_solid_angle,1,0.19,0.22800000000000004,0.772,0.084,0.024,0.0
PCA,contraceptive,_delaunay_max_solid_angle_4,ABC,max_solid_angle,4,0.198,0.22800000000000004,0.806,0.20800000000000002,0.28800000000000003,0.15200000000000002
PCA,contraceptive,_delaunay_max_solid_angle_4,DTREE,max_solid_angle,4,0.186,0.2,0.804,0.188,0.272,0.13
PCA,contraceptive,_delaunay_max_solid_angle_4,GNB,max_solid_angle,4,0.196,0.182,0.852,0.192,0.268,0.134
PCA,contraceptive,_delaunay_max_solid_angle_4,KNN,max_solid_angle,4,0.20600000000000002,0.21200000000000002,0.8160000000000001,0.19999999999999998,0.28800000000000003,0.14
PCA,contraceptive,_delaunay_max_solid_angle_4,LRG,max_solid_angle,4,0.20400000000000001,0.262,0.772,0.22000000000000003,0.298,0.156
PCA,contraceptive,_delaunay_max_solid_angle_4,MLP,max_solid_angle,4,0.20600000000000002,0.23200000000000004,0.812,0.21600000000000003,0.29000000000000004,0.15800000000000003
PCA,contraceptive,_delaunay_max_solid_angle_4,QDA,max_solid_angle,4,0.21200000000000002,0.166,0.86,0.184,0.262,0.128
PCA,contraceptive,_delaunay_max_solid_angle_4,RF,max_solid_angle,4,0.196,0.22400000000000003,0.792,0.20600000000000002,0.28400000000000003,0.14400000000000002
PCA,contraceptive,_delaunay_max_solid_angle_4,SGD,max_solid_angle,4,0.18000000000000002,0.27,0.75,0.18,0.20400000000000001,0.09000000000000001
PCA,contraceptive,_delaunay_max_solid_angle_4,SVM,max_solid_angle,4,0.19,0.22800000000000004,0.772,0.084,0.024,0.0
PCA,contraceptive,_delaunay_max_solid_angle_9,ABC,max_solid_angle,9,0.2,0.22800000000000004,0.8100000000000002,0.21400000000000002,0.29000000000000004,0.156
PCA,contraceptive,_delaunay_max_solid_angle_9,DTREE,max_solid_angle,9,0.194,0.21000000000000002,0.806,0.196,0.28200000000000003,0.136
PCA,contraceptive,_delaunay_max_solid_angle_9,GNB,max_solid_angle,9,0.196,0.184,0.8459999999999999,0.19,0.268,0.134
PCA,contraceptive,_delaunay_max_solid_angle_9,KNN,max_solid_angle,9,0.2,0.20800000000000002,0.818,0.2,0.28400000000000003,0.14200000000000002
PCA,contraceptive,_delaunay_max_solid_angle_9,LRG,max_solid_angle,9,0.20400000000000001,0.26,0.7699999999999999,0.21600000000000003,0.296,0.156
PCA,contraceptive,_delaunay_max_solid_angle_9,MLP,max_solid_angle,9,0.20600000000000002,0.22199999999999998,0.818,0.21200000000000002,0.28800000000000003,0.15600000000000003
PCA,contraceptive,_delaunay_max_solid_angle_9,QDA,max_solid_angle,9,0.21200000000000002,0.172,0.858,0.186,0.266,0.126
