MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,ozone-eighthr,_train,MLP,NONE,NONE,0.8800000000000001,0.9399999999999998,0.06,0.91,0.0,0.0,0.5
PCA,ozone-eighthr,_train,QDA,NONE,NONE,0.9,0.91,0.214,0.904,0.384,0.168,0.5604016766600044
PCA,ozone-eighthr,_train,RF,NONE,NONE,0.932,0.9420000000000001,0.18600000000000003,0.92,0.342,0.14200000000000002,0.5637289307128579
PCA,ozone-eighthr,_train,SGD,NONE,NONE,0.8800000000000001,0.9399999999999998,0.06,0.91,0.0,0.0,0.5
PCA,ozone-eighthr,_train,SVM,NONE,NONE,0.8800000000000001,0.9399999999999998,0.06,0.91,0.0,0.0,0.5
PCA,ozone-onehr,_train,ABC,NONE,NONE,0.96,0.966,0.20199999999999999,0.9620000000000001,0.364,0.18600000000000005,0.5845117475080865
PCA,ozone-onehr,_train,DTREE,NONE,NONE,0.9540000000000001,0.95,0.21600000000000005,0.9520000000000001,0.42,0.2,0.5829964096656324
PCA,ozone-onehr,_train,GNB,NONE,NONE,0.964,0.7240000000000001,0.754,0.8140000000000001,0.736,0.5379999999999999,0.7391611245002626
PCA,ozone-onehr,_train,KNN,NONE,NONE,0.9440000000000001,0.97,0.03,0.96,0.0,0.0,0.4995934959349594
PCA,ozone-onehr,_train,LRG,NONE,NONE,0.9440000000000001,0.97,0.03,0.96,0.0,0.0,0.5
PCA,ozone-onehr,_train,MLP,NONE,NONE,0.9440000000000001,0.97,0.03,0.96,0.0,0.0,0.5
PCA,ozone-onehr,_train,QDA,NONE,NONE,0.9440000000000001,0.97,0.03,0.96,0.0,0.0,0.5
PCA,ozone-onehr,_train,RF,NONE,NONE,0.9440000000000001,0.968,0.044000000000000004,0.96,0.054000000000000006,0.016,0.5061265969802555
PCA,ozone-onehr,_train,SGD,NONE,NONE,0.7539999999999999,0.782,0.21800000000000005,0.768,0.0,0.0,0.5
PCA,ozone-onehr,_train,SVM,NONE,NONE,0.9440000000000001,0.97,0.03,0.96,0.0,0.0,0.5
PCA,parkinsons,_train,ABC,NONE,NONE,0.926,0.924,0.82,0.922,0.8619999999999999,0.75,0.8697701149425286
PCA,parkinsons,_train,DTREE,NONE,NONE,0.8620000000000001,0.86,0.7660000000000001,0.86,0.8039999999999999,0.6579999999999999,0.8134099616858238
PCA,parkinsons,_train,GNB,NONE,NONE,0.8420000000000001,0.7060000000000001,0.85,0.7260000000000001,0.764,0.574,0.7795402298850574
PCA,parkinsons,_train,KNN,NONE,NONE,0.7659999999999999,0.7879999999999999,0.4640000000000001,0.7580000000000001,0.524,0.298,0.6262068965517242
PCA,parkinsons,_train,LRG,NONE,NONE,0.5660000000000001,0.752,0.248,0.6460000000000001,0.0,0.0,0.5
PCA,parkinsons,_train,MLP,NONE,NONE,0.5660000000000001,0.752,0.248,0.6460000000000001,0.0,0.0,0.5
PCA,parkinsons,_train,QDA,NONE,NONE,0.86,0.8619999999999999,0.6739999999999999,0.85,0.736,0.562,0.7672030651340996
PCA,parkinsons,_train,RF,NONE,NONE,0.918,0.914,0.772,0.9079999999999999,0.8240000000000001,0.6960000000000001,0.841992337164751
PCA,parkinsons,_train,SGD,NONE,NONE,0.466,0.6519999999999999,0.348,0.5379999999999999,0.0,0.0,0.5
PCA,parkinsons,_train,SVM,NONE,NONE,0.5660000000000001,0.752,0.248,0.6460000000000001,0.0,0.0,0.5
PCA,phoneme,_train,ABC,NONE,NONE,0.8140000000000001,0.8160000000000001,0.71,0.8140000000000001,0.75,0.5700000000000001,0.7629067523906462
PCA,phoneme,_train,DTREE,NONE,NONE,0.85,0.852,0.784,0.85,0.8140000000000001,0.6639999999999999,0.8173855006123829
PCA,phoneme,_train,GNB,NONE,NONE,0.7979999999999999,0.784,0.746,0.7879999999999999,0.764,0.5840000000000001,0.7652079402096326
PCA,phoneme,_train,KNN,NONE,NONE,0.8640000000000001,0.8640000000000001,0.782,0.8640000000000001,0.82,0.674,0.8238302133098281
PCA,phoneme,_train,LRG,NONE,NONE,0.752,0.76,0.616,0.752,0.6679999999999999,0.452,0.6877753492028507
PCA,phoneme,_train,MLP,NONE,NONE,0.85,0.852,0.78,0.852,0.8100000000000002,0.66,0.8150511598677792
PCA,phoneme,_train,QDA,NONE,NONE,0.8059999999999998,0.7879999999999999,0.772,0.794,0.778,0.608,0.7793563203349354
PCA,phoneme,_train,RF,NONE,NONE,0.8880000000000001,0.892,0.8340000000000001,0.892,0.86,0.742,0.8624615148743638
PCA,phoneme,_train,SGD,NONE,NONE,0.736,0.71,0.58,0.6940000000000001,0.584,0.35600000000000004,0.6455419937094805
PCA,phoneme,_train,SVM,NONE,NONE,0.812,0.8020000000000002,0.7559999999999999,0.8059999999999999,0.778,0.61,0.7800466462336038
PCA,pima-indians-diabetes,_train,ABC,NONE,NONE,0.638,0.65,0.532,0.6399999999999999,0.5539999999999999,0.314,0.5917288609364081
