,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
109,PCA,new-thyroid,_SMOTE,SVM,NONE,NONE,0.16,0.18,0.8479999999999999,0.11199999999999999,0.11800000000000002,0.05800000000000001
110,PCA,penbased,_SMOTE,ABC,NONE,NONE,0.13,0.25,0.912,0.15,0.23199999999999998,0.17
111,PCA,penbased,_SMOTE,DTREE,NONE,NONE,0.72,0.716,0.98,0.72,0.7699999999999999,0.7020000000000001
112,PCA,penbased,_SMOTE,GNB,NONE,NONE,0.7060000000000001,0.6799999999999999,0.978,0.6859999999999999,0.7440000000000001,0.664
113,PCA,penbased,_SMOTE,KNN,NONE,NONE,0.7780000000000001,0.768,0.99,0.772,0.78,0.7659999999999999
114,PCA,penbased,_SMOTE,LRG,NONE,NONE,0.7,0.6839999999999999,0.978,0.6860000000000002,0.7460000000000001,0.664
115,PCA,penbased,_SMOTE,MLP,NONE,NONE,0.77,0.772,0.988,0.77,0.78,0.764
116,PCA,penbased,_SMOTE,QDA,NONE,NONE,0.01,0.1,0.9,0.02,0.0,0.0
117,PCA,penbased,_SMOTE,RF,NONE,NONE,0.774,0.772,0.99,0.774,0.782,0.77
118,PCA,penbased,_SMOTE,SGD,NONE,NONE,0.71,0.6779999999999999,0.9740000000000001,0.672,0.7299999999999999,0.6579999999999999
119,PCA,penbased,_SMOTE,SVM,NONE,NONE,0.6940000000000001,0.6579999999999999,0.976,0.6599999999999999,0.72,0.6399999999999999
120,PCA,thyroid,_SMOTE,ABC,NONE,NONE,0.906,0.706,0.8719999999999999,0.7759999999999999,0.748,0.628
121,PCA,thyroid,_SMOTE,DTREE,NONE,NONE,0.906,0.902,0.768,0.906,0.7859999999999999,0.688
122,PCA,thyroid,_SMOTE,GNB,NONE,NONE,0.818,0.12399999999999994,0.8340000000000002,0.204,0.294,0.094
123,PCA,thyroid,_SMOTE,KNN,NONE,NONE,0.868,0.784,0.364,0.826,0.47,0.25999999999999995
124,PCA,thyroid,_SMOTE,LRG,NONE,NONE,0.8740000000000001,0.82,0.406,0.8460000000000001,0.518,0.30799999999999994
125,PCA,thyroid,_SMOTE,MLP,NONE,NONE,0.904,0.906,0.7020000000000001,0.904,0.75,0.63
126,PCA,thyroid,_SMOTE,QDA,NONE,NONE,0.8639999999999999,0.882,0.17800000000000002,0.8720000000000001,0.218,0.096
127,PCA,thyroid,_SMOTE,RF,NONE,NONE,0.908,0.912,0.782,0.91,0.7939999999999999,0.71
128,PCA,thyroid,_SMOTE,SGD,NONE,NONE,0.8759999999999999,0.748,0.452,0.7859999999999999,0.48,0.276
129,PCA,thyroid,_SMOTE,SVM,NONE,NONE,0.86,0.8879999999999999,0.14600000000000002,0.8740000000000001,0.198,0.076
130,PCA,wine,_SMOTE,ABC,NONE,NONE,0.278,0.226,0.8079999999999999,0.244,0.27,0.212
131,PCA,wine,_SMOTE,DTREE,NONE,NONE,0.28800000000000003,0.29600000000000004,0.784,0.29000000000000004,0.336,0.268
132,PCA,wine,_SMOTE,GNB,NONE,NONE,0.28800000000000003,0.29600000000000004,0.79,0.29,0.334,0.272
133,PCA,wine,_SMOTE,KNN,NONE,NONE,0.26,0.254,0.764,0.252,0.312,0.21
134,PCA,wine,_SMOTE,LRG,NONE,NONE,0.048,0.052000000000000005,0.764,0.048,0.08800000000000001,0.02
135,PCA,wine,_SMOTE,MLP,NONE,NONE,0.2,0.196,0.74,0.192,0.248,0.154
136,PCA,wine,_SMOTE,QDA,NONE,NONE,0.278,0.27,0.7979999999999999,0.272,0.282,0.266
137,PCA,wine,_SMOTE,RF,NONE,NONE,0.272,0.276,0.784,0.274,0.294,0.264
138,PCA,wine,_SMOTE,SGD,NONE,NONE,0.05800000000000001,0.07200000000000001,0.836,0.06400000000000003,0.092,0.038000000000000006
139,PCA,wine,_SMOTE,SVM,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
140,PCA,contraceptive,_Borderline1,ABC,NONE,NONE,0.2,0.222,0.8140000000000001,0.20800000000000002,0.28600000000000003,0.152
141,PCA,contraceptive,_Borderline1,DTREE,NONE,NONE,0.182,0.194,0.8,0.182,0.27,0.126
142,PCA,contraceptive,_Borderline1,GNB,NONE,NONE,0.198,0.182,0.852,0.188,0.268,0.134
143,PCA,contraceptive,_Borderline1,KNN,NONE,NONE,0.184,0.196,0.812,0.188,0.274,0.128
144,PCA,contraceptive,_Borderline1,LRG,NONE,NONE,0.2,0.258,0.77,0.21800000000000005,0.294,0.15000000000000002
145,PCA,contraceptive,_Borderline1,MLP,NONE,NONE,0.20800000000000002,0.2240000000000001,0.82,0.212,0.29200000000000004,0.158
146,PCA,contraceptive,_Borderline1,QDA,NONE,NONE,0.214,0.17,0.8619999999999999,0.188,0.264,0.128
